date,source,url,seg,pos_cnt,neg_cnt,neutral_cnt,total_cnt,fill_source,dict
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271787/yields-on-govt-securities-end-flat-on-fresh-tensions/,H,0,0,7,7,auto,Correa
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271787/yields-on-govt-securities-end-flat-on-fresh-tensions/,F,2,5,418,425,auto,Correa
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271787/yields-on-govt-securities-end-flat-on-fresh-tensions/,HP,0,0,29,29,auto,Correa
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271788/peso-to-weaken-further-on-geopolitical-tensions/,H,0,1,3,4,auto,Correa
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271788/peso-to-weaken-further-on-geopolitical-tensions/,F,0,3,331,334,auto,Correa
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271788/peso-to-weaken-further-on-geopolitical-tensions/,HP,0,2,16,18,auto,Correa
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271968/local-shares-decline-on-geopolitical-tensions/,H,0,0,5,5,auto,Correa
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271968/local-shares-decline-on-geopolitical-tensions/,F,3,7,217,227,auto,Correa
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271968/local-shares-decline-on-geopolitical-tensions/,HP,0,1,14,15,auto,Correa
2020-01-07,Business World,https://www.bworldonline.com/banking-finance/2020/01/07/272182/peso-strengthens-on-inflation-gir-data/,H,0,0,5,5,auto,Correa
2020-01-07,Business World,https://www.bworldonline.com/banking-finance/2020/01/07/272182/peso-strengthens-on-inflation-gir-data/,F,1,2,176,179,auto,Correa
2020-01-07,Business World,https://www.bworldonline.com/banking-finance/2020/01/07/272182/peso-strengthens-on-inflation-gir-data/,HP,1,0,17,18,auto,Correa
2020-01-07,Business World,https://www.bworldonline.com/economy/2020/01/07/272285/gir-hits-record-levels-at-end-2019-as-trade-deficit-narrows/,H,0,0,8,8,auto,Correa
2020-01-07,Business World,https://www.bworldonline.com/economy/2020/01/07/272285/gir-hits-record-levels-at-end-2019-as-trade-deficit-narrows/,F,6,5,461,472,auto,Correa
2020-01-07,Business World,https://www.bworldonline.com/economy/2020/01/07/272285/gir-hits-record-levels-at-end-2019-as-trade-deficit-narrows/,HP,0,0,34,34,auto,Correa
2020-01-07,Business World,https://www.bworldonline.com/editors-picks/2020/01/07/272284/bsp-looking-at-rate-cut-to-discourage-hot-money/,H,0,0,7,7,auto,Correa
2020-01-07,Business World,https://www.bworldonline.com/editors-picks/2020/01/07/272284/bsp-looking-at-rate-cut-to-discourage-hot-money/,F,0,1,127,128,auto,Correa
2020-01-07,Business World,https://www.bworldonline.com/editors-picks/2020/01/07/272284/bsp-looking-at-rate-cut-to-discourage-hot-money/,HP,0,0,24,24,auto,Correa
2020-01-08,Business Mirror,https://businessmirror.com.ph/2020/01/08/slew-of-events-spooks-investors-prompt-partial-award-of-t-bonds/,H,0,0,8,8,manual,Correa
2020-01-08,Business Mirror,https://businessmirror.com.ph/2020/01/08/slew-of-events-spooks-investors-prompt-partial-award-of-t-bonds/,F,0,4,187,191,manual,Correa
2020-01-08,Business Mirror,https://businessmirror.com.ph/2020/01/08/slew-of-events-spooks-investors-prompt-partial-award-of-t-bonds/,HP,0,1,37,38,manual,Correa
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272185/peso-may-weaken-anew-on-rate-cuts-ca-deficit/,H,0,1,6,7,auto,Correa
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272185/peso-may-weaken-anew-on-rate-cuts-ca-deficit/,F,4,4,324,332,auto,Correa
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272185/peso-may-weaken-anew-on-rate-cuts-ca-deficit/,HP,0,2,23,25,auto,Correa
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272388/main-index-drops-as-us-iran-tensions-escalate/,H,0,1,5,6,auto,Correa
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272388/main-index-drops-as-us-iran-tensions-escalate/,F,0,4,245,249,auto,Correa
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272388/main-index-drops-as-us-iran-tensions-escalate/,HP,0,1,20,21,auto,Correa
2020-01-08,Inquirer,https://business.inquirer.net/286744/ph-economy-to-outperform-global-peers-in-next-2-years,H,0,0,6,6,manual,Correa
2020-01-08,Inquirer,https://business.inquirer.net/286744/ph-economy-to-outperform-global-peers-in-next-2-years,F,6,3,226,235,manual,Correa
2020-01-08,Inquirer,https://business.inquirer.net/286744/ph-economy-to-outperform-global-peers-in-next-2-years,HP,2,0,29,31,manual,Correa
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272394/liquidity-lending-growth-pick-up-in-november/,H,0,0,5,5,auto,Correa
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272394/liquidity-lending-growth-pick-up-in-november/,F,5,3,472,480,auto,Correa
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272394/liquidity-lending-growth-pick-up-in-november/,HP,1,0,16,17,auto,Correa
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272611/phl-shares-end-higher-as-us-iran-tensions-ease/,H,0,0,7,7,auto,Correa
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272611/phl-shares-end-higher-as-us-iran-tensions-ease/,F,5,3,228,236,auto,Correa
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272611/phl-shares-end-higher-as-us-iran-tensions-ease/,HP,1,1,19,21,auto,Correa
2020-01-09,Rappler,https://www.rappler.com/business/248893-world-bank-global-economic-prospects-report-january-2020/,H,1,1,7,9,auto,Correa
2020-01-09,Rappler,https://www.rappler.com/business/248893-world-bank-global-economic-prospects-report-january-2020/,F,12,22,350,384,auto,Correa
2020-01-09,Rappler,https://www.rappler.com/business/248893-world-bank-global-economic-prospects-report-january-2020/,HP,1,1,7,9,auto,Correa
2020-01-10,Business World,https://www.bworldonline.com/editors-picks/2020/01/10/272756/stocks-close-lower-as-investors-await-us-china-trade-deal/,H,0,0,8,8,auto,Correa
2020-01-10,Business World,https://www.bworldonline.com/editors-picks/2020/01/10/272756/stocks-close-lower-as-investors-await-us-china-trade-deal/,F,0,4,211,215,auto,Correa
2020-01-10,Business World,https://www.bworldonline.com/editors-picks/2020/01/10/272756/stocks-close-lower-as-investors-await-us-china-trade-deal/,HP,0,0,25,25,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/272865/yields-on-govt-debt-up-on-inflation-us-iran-tensions/,H,0,0,6,6,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/272865/yields-on-govt-debt-up-on-inflation-us-iran-tensions/,F,0,7,271,278,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/272865/yields-on-govt-debt-up-on-inflation-us-iran-tensions/,HP,0,0,7,7,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/273082/peso-may-lag-peers-as-current-account-gap-widens-yuan-to-climb/,H,0,0,9,9,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/273082/peso-may-lag-peers-as-current-account-gap-widens-yuan-to-climb/,F,4,5,183,192,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/273082/peso-may-lag-peers-as-current-account-gap-widens-yuan-to-climb/,HP,0,0,23,23,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/corporate/2020/01/13/272937/century-properties-keen-on-reit-launch/,H,0,0,5,5,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/corporate/2020/01/13/272937/century-properties-keen-on-reit-launch/,F,2,0,192,194,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/corporate/2020/01/13/272937/century-properties-keen-on-reit-launch/,HP,0,0,24,24,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272809/shares-to-rise-on-signing-of-us-china-trade-deal/,H,0,0,6,6,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272809/shares-to-rise-on-signing-of-us-china-trade-deal/,F,1,5,219,225,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272809/shares-to-rise-on-signing-of-us-china-trade-deal/,HP,0,0,7,7,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272866/treasury-bill-rates-may-inch-up-as-us-iran-tensions-continue/,H,0,0,6,6,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272866/treasury-bill-rates-may-inch-up-as-us-iran-tensions-continue/,F,0,1,309,310,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272866/treasury-bill-rates-may-inch-up-as-us-iran-tensions-continue/,HP,0,0,17,17,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272868/peso-may-strengthen-on-us-china-phase-one-deal/,H,0,0,5,5,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272868/peso-may-strengthen-on-us-china-phase-one-deal/,F,4,3,327,334,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272868/peso-may-strengthen-on-us-china-phase-one-deal/,HP,1,0,21,22,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/273081/phl-stocks-to-take-cues-from-us-china-trade-talks/,H,0,0,6,6,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/273081/phl-stocks-to-take-cues-from-us-china-trade-talks/,F,1,3,258,262,auto,Correa
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/273081/phl-stocks-to-take-cues-from-us-china-trade-talks/,HP,0,0,28,28,auto,Correa
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/dealing-with-current-and-future-inflation/,H,0,0,4,4,manual,Correa
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/dealing-with-current-and-future-inflation/,F,5,5,320,330,manual,Correa
