dictionary,dv,segment,direction,maxlag,N,ssr_ftest_F,ssr_ftest_p,predictor,response
LM,d_psei_30d_vol_log,F_L,Z→DV,2,66,0.2183189630368764,0.8045154755887439,,
LM,d_psei_30d_vol_log,F_L,Z→DV,3,66,0.33214773832088174,0.8021176255522684,,
LM,d_psei_30d_vol_log,F_L,Z→DV,4,66,0.32361937196381974,0.8609035726090911,,
LM,d_psei_30d_vol_log,F_L,Z→DV,5,66,0.4653614042387769,0.800154780082562,,
LM,d_psei_30d_vol_log,HP_L,Z→DV,1,66,2.021636051917731,0.16008315329510853,,
LM,d_psei_30d_vol_log,HP_L,Z→DV,2,66,0.9658781596531133,0.38658526334519216,,
LM,d_psei_30d_vol_log,HP_L,Z→DV,3,66,0.322037084377904,0.8093936399076649,,
LM,d_psei_30d_vol_log,HP_L,Z→DV,4,66,0.24051918483102774,0.9141243818038067,,
LM,d_psei_30d_vol_log,HP_L,Z→DV,5,66,0.40010916655684553,0.8464336103733736,,
LM,d_psei_30d_vol_log,H_L,Z→DV,1,66,2.1736410770294654,0.14545332222012772,,
LM,d_psei_30d_vol_log,H_L,Z→DV,2,66,1.014899788302255,0.36867781382394804,,
LM,d_psei_30d_vol_log,H_L,Z→DV,3,66,0.7193452514959793,0.5446240723892608,,
LM,d_psei_30d_vol_log,H_L,Z→DV,4,66,0.5150761830415788,0.724920826815901,,
LM,d_psei_30d_vol_log,H_L,Z→DV,5,66,0.393151007166352,0.8512030582603484,,
LM,d_psei_30d_vol_log,F_L,DV→Z,1,66,0.0009159717817522227,0.9759529042782314,,
LM,d_psei_30d_vol_log,F_L,DV→Z,2,66,0.064865050449717,0.9372606675439534,,
LM,d_psei_30d_vol_log,F_L,DV→Z,3,66,0.2903979267981393,0.8321456996703164,,
LM,d_psei_30d_vol_log,F_L,DV→Z,4,66,0.6780288855089307,0.6102230100296779,,
LM,d_psei_30d_vol_log,F_L,DV→Z,5,66,0.5988802641749599,0.7009113831267811,,
LM,d_psei_30d_vol_log,HP_L,DV→Z,1,66,0.16353201036790632,0.6873169625004916,,
LM,d_psei_30d_vol_log,HP_L,DV→Z,2,66,0.9928178151570418,0.376635698203444,,
LM,d_psei_30d_vol_log,HP_L,DV→Z,3,66,0.7244251240503023,0.541663960346018,,
LM,d_psei_30d_vol_log,HP_L,DV→Z,4,66,0.5086429186418991,0.7295614986954062,,
LM,d_psei_30d_vol_log,HP_L,DV→Z,5,66,0.45256858208279316,0.8094150915188937,,
LM,d_psei_30d_vol_log,H_L,DV→Z,1,66,0.007568637334496119,0.9309535377867851,,
LM,d_psei_30d_vol_log,H_L,DV→Z,2,66,0.032969806670339635,0.9675855864737338,,
LM,d_psei_30d_vol_log,H_L,DV→Z,3,66,0.03607215252384159,0.9907272011875966,,
LM,d_psei_30d_vol_log,H_L,DV→Z,4,66,0.09155075165327717,0.9847228806270458,,
LM,d_psei_30d_vol_log,H_L,DV→Z,5,66,0.28108509302404605,0.9213316185759213,,
LM,cds_logdiff,F_L,Z→DV,1,77,0.2456847730764061,0.6216190249569816,,
LM,cds_logdiff,F_L,Z→DV,2,77,0.8059128586823983,0.45078067429433555,,
LM,cds_logdiff,F_L,Z→DV,3,77,0.4579946531617662,0.7125451318102385,,
LM,cds_logdiff,F_L,Z→DV,4,77,0.5367206074963435,0.7092368541643277,,
LM,cds_logdiff,F_L,Z→DV,5,77,0.33309014730775244,0.891027268698667,,
LM,cds_logdiff,HP_L,Z→DV,1,77,0.66208766516324,0.41847007695837546,,
LM,cds_logdiff,HP_L,Z→DV,2,77,0.5768862713030336,0.5642918926159028,,
LM,cds_logdiff,HP_L,Z→DV,3,77,0.24220494424707464,0.8665853692433845,,
LM,cds_logdiff,HP_L,Z→DV,4,77,0.20052423665854596,0.9371755484905706,,
LM,cds_logdiff,HP_L,Z→DV,5,77,0.3903847033939414,0.8535513729299438,,
LM,cds_logdiff,H_L,Z→DV,1,77,0.7359518018206536,0.3937686282743842,,
LM,cds_logdiff,H_L,Z→DV,2,77,0.33876964172785834,0.7138084380738973,,
LM,cds_logdiff,H_L,Z→DV,3,77,0.4484903340325723,0.7191840172390521,,
LM,cds_logdiff,H_L,Z→DV,4,77,0.359068829987616,0.8367970737450934,,
LM,cds_logdiff,H_L,Z→DV,5,77,0.4549294203250042,0.8081011866483526,,
LM,cds_logdiff,F_L,DV→Z,1,77,0.5556126977072264,0.4584267067846891,,
LM,cds_logdiff,F_L,DV→Z,2,77,0.506245679173875,0.604943995313311,,
LM,cds_logdiff,F_L,DV→Z,3,77,0.4617825027158379,0.7099069900516117,,
LM,cds_logdiff,F_L,DV→Z,4,77,1.0497167409069146,0.38875159927518793,,
LM,cds_logdiff,F_L,DV→Z,5,77,0.7683855691400069,0.5761868751799286,,
LM,cds_logdiff,HP_L,DV→Z,1,77,0.666879291086934,0.41679875895837004,,
LM,cds_logdiff,HP_L,DV→Z,2,77,0.5816334537943961,0.5616628524975862,,
LM,cds_logdiff,HP_L,DV→Z,3,77,0.5326510767305055,0.6614584793001238,,
LM,cds_logdiff,HP_L,DV→Z,4,77,0.7011439709061724,0.5940322951080995,,
LM,cds_logdiff,HP_L,DV→Z,5,77,0.5151874640432245,0.7637520495142138,,
LM,cds_logdiff,H_L,DV→Z,1,77,1.3210862622373485,0.2541490567341875,,
LM,cds_logdiff,H_L,DV→Z,2,77,0.80330983444898,0.45192915905072983,,
LM,cds_logdiff,H_L,DV→Z,3,77,0.615150988077115,0.6075716490659109,,
LM,cds_logdiff,H_L,DV→Z,4,77,0.7781310159766327,0.5435149589578091,,
LM,cds_logdiff,H_L,DV→Z,5,77,0.6030518205626452,0.697748791962038,,
LM,fx_ret,F_L,Z→DV,1,67,0.2717845251755387,0.603965073496542,,
LM,fx_ret,F_L,Z→DV,2,67,1.2150944544253381,0.30387714628188217,,
LM,fx_ret,F_L,Z→DV,3,67,0.4324102853586794,0.7305966722965099,,
LM,fx_ret,F_L,Z→DV,4,67,0.32747288310897743,0.8583213018856358,,
LM,fx_ret,F_L,Z→DV,5,67,1.1142142414679366,0.36460169548746085,,
LM,fx_ret,HP_L,Z→DV,1,67,2.0771698065086657,0.15446940434068435,,
LM,fx_ret,HP_L,Z→DV,2,67,1.011227230966148,0.3698869798404246,,
LM,fx_ret,HP_L,Z→DV,3,67,2.114908643604156,0.10836131519602317,,
LM,fx_ret,HP_L,Z→DV,4,67,1.649143117458686,0.17536607829744374,,
LM,fx_ret,HP_L,Z→DV,5,67,1.7822055244119375,0.13319318874478486,,
LM,fx_ret,H_L,Z→DV,1,67,2.3250918284935085,0.1323073912741897,,
LM,fx_ret,H_L,Z→DV,2,67,1.1086824006231044,0.33665814740256284,,
LM,fx_ret,H_L,Z→DV,3,67,1.2711656700352818,0.29293233033046745,,
LM,fx_ret,H_L,Z→DV,4,67,1.1201480161855477,0.35666590357918926,,
LM,fx_ret,H_L,Z→DV,5,67,1.0316352369712731,0.4091526291039646,,
LM,fx_ret,F_L,DV→Z,1,67,1.618677281305811,0.20795226721750873,,
LM,fx_ret,F_L,DV→Z,2,67,2.0780431087553577,0.13409162101567015,,
LM,fx_ret,F_L,DV→Z,3,67,0.7636296994420854,0.5191537403128716,,
LM,fx_ret,F_L,DV→Z,4,67,1.0159622130858614,0.4074073336800949,,
LM,fx_ret,F_L,DV→Z,5,67,0.8558031458985402,0.517126745544644,,
LM,fx_ret,HP_L,DV→Z,1,67,0.7749098521464494,0.3820481863826519,,
LM,fx_ret,HP_L,DV→Z,2,67,0.5225732629888022,0.5956666647490773,,
LM,fx_ret,HP_L,DV→Z,3,67,0.35604885824721755,0.7849338680875819,,
LM,fx_ret,HP_L,DV→Z,4,67,0.9533842239634047,0.44058917979390155,,
LM,fx_ret,HP_L,DV→Z,5,67,0.6908392298848705,0.6326492393931521,,
LM,fx_ret,H_L,DV→Z,1,67,3.5047110669869546,0.06583772463980085,,
LM,fx_ret,H_L,DV→Z,2,67,2.567964468062147,0.08509796507016754,,
LM,fx_ret,H_L,DV→Z,3,67,1.508447294318105,0.22209498078629616,,
LM,fx_ret,H_L,DV→Z,4,67,1.6672166686712275,0.17104638635549277,,
LM,fx_ret,H_L,DV→Z,5,67,1.1852910219006028,0.3294293400719969,,
LM,d_vix_log,F_L,Z→DV,1,70,0.11897732385315322,0.7312431408989513,,
LM,d_vix_log,F_L,Z→DV,2,70,0.18465655740536466,0.8318381198710147,,
