date,psei_ret,fx_ret,d_psei_10d_vol_log,d_psei_30d_vol_log,d_vix_log,cds_logdiff,sent_H,sent_F,sent_HP,sent_H_L,sent_F_L,sent_HP_L,art_count,token_count_H,token_count_F,token_count_HP,dictionary,z_H,z_F,z_HP,z_H_L,z_F_L,z_HP_L
2020-02-03,-0.0088943,-0.000590377,-0.010211613,-0.04935212,-0.047278568,-0.024475894,-0.054054054,-0.009274414,-0.036363636,-0.05,-0.009259259,-0.03539823,6,37,1833,110,Correa,-0.485041351,0.338042911,-0.597303519,-0.481806748,0.338415744,-0.594210293
2020-02-04,0.012513595,-0.000590726,0.092818854,0.026623869,-0.112994851,-0.081435994,0.069767442,-0.006417112,0.00729927,0.065217391,-0.006406834,0.007142857,6,43,1870,137,Correa,2.340360635,0.662700235,0.996457385,2.37634442,0.663197015,1.006200836
2020-02-05,0.017277823,0.002753739,-0.033978354,0.048607699,-0.057708318,-0.073533546,0,-0.010384615,0.006493506,0,-0.010372647,0.006369427,8,57,2600,154,Correa,0.748382864,0.211897727,0.967045803,0.758523007,0.211643762,0.977104119
2020-02-06,0.020682656,-0.002753739,0.158224005,0.047349134,-0.012620559,0.007607219,-0.035714286,-0.004946414,-0.011235955,-0.033898305,-0.004940305,-0.011049724,9,56,2426,178,Correa,-0.066558142,0.829806434,0.31989415,-0.08237852,0.830178147,0.321789338
2020-02-07,9.20E-05,-0.000236388,-0.002363136,-0.03131569,0.033522692,0.04986812,0,-0.006861063,-0.004739336,0,-0.006852248,-0.004672897,9,60,2332,211,Correa,0.748382864,0.612256864,0.55703039,0.758523007,0.612481527,0.561687883
2020-02-10,-0.010220962,0.000433335,-0.035316672,-0.016554956,-0.028189346,-2.72E-05,-0.054545455,-0.009300723,-0.01369863,-0.051724138,-0.009291122,-0.013513514,10,55,2903,219,Correa,-0.49625431,0.335053584,0.230002855,-0.524576742,0.334787776,0.229100664
2020-02-11,0.001148467,-0.001576666,0.00081666,0.001042753,0.009265453,-0.024819134,0.065217391,-0.00578369,0.039735099,0.06122449,-0.005773672,0.038961039,7,46,1729,151,Correa,2.236535988,0.734672008,2.180413307,2.277294142,0.735289764,2.203212389
2020-02-12,-0.007596056,-0.002567396,-0.008196767,0.003641096,-0.099667485,-0.039452792,0.029411765,-0.001664817,0.033613445,0.027027027,-0.00166205,0.032786885,6,34,1802,119,Correa,1.419510753,1.202673741,1.956963846,1.428971523,1.203445043,1.970938475
2020-02-13,0.002707793,-0.001187179,-0.27541198,-0.004683849,0.029403337,0.007399947,-0.056603774,-0.028593214,-0.074074074,-0.053571429,-0.028560548,-0.072916667,8,53,2623,189,Correa,-0.543221749,-1.857031293,-1.973790502,-0.570401742,-1.85925718,-2.005667507
2020-02-14,-0.016496118,0.001187179,0.10047053,-0.000521785,-0.033779712,-0.00681985,-0.01754386,-0.018256976,-0.008196721,-0.016666667,-0.018238128,-0.008097166,9,57,2903,244,Correa,0.348060961,-0.68258933,0.430830704,0.345079747,-0.68393138,0.432865641
2020-02-17,0.006140406,-9.89E-05,-0.038475893,0.007798324,,0.001303989,-0.038461538,-0.005563986,-0.024390244,-0.036363636,-0.005555556,-0.023952096,7,52,1977,164,Correa,-0.129245895,0.759635597,-0.160256932,-0.143534988,0.76012477,-0.163602579
2020-02-18,-0.00054076,0.001679593,-0.133895333,-0.006755027,,0.013461631,0,-0.019047619,-0.027149321,0,-0.019023987,-0.026785714,8,63,2415,221,Correa,0.748382864,-0.77242514,-0.260967339,0.758523007,-0.773410432,-0.270204316
2020-02-19,0.010061341,-0.00191694,-0.242698684,0.001562907,-0.030813804,-0.022450129,0,-0.006953224,0.008474576,0,-0.006940063,0.008264463,5,33,1582,118,Correa,0.748382864,0.601785187,1.039357799,0.758523007,0.602482783,1.048396061
2020-02-20,0.002168679,0.000731637,0.009604802,-0.00993992,0.078865166,0.004664324,-0.032258065,-0.011359185,-0.015228426,-0.030769231,-0.011345853,-0.015,9,62,2553,197,Correa,0.012307111,0.101163444,0.17416303,-0.004756848,0.100833107,0.173178521
2020-02-21,-0.005847225,0.007090831,-0.055948074,0.002100841,0.09320467,0.02688712,-0.046875,-0.014925373,-0.025925926,-0.044776119,-0.014910859,-0.025641026,10,64,3082,270,Correa,-0.321227198,-0.304040155,-0.216311605,-0.352220048,-0.305083677,-0.227140738
2020-02-24,-0.025052793,0.00025512,0.343446306,0.059574753,0.382166917,0.124605063,-0.071428571,-0.027420257,-0.054545455,-0.066666667,-0.027374302,-0.053097345,6,42,1787,110,Correa,-0.881499126,-1.723755538,-1.260966911,-0.895250009,-1.72418948,-1.260057422
2020-02-25,,,,,0.106757861,-0.01737201,-0.1,-0.030646992,-0.106382979,-0.076923077,-0.030542986,-0.1,2,10,881,47,Correa,-1.533451936,-2.090389219,-3.15311351,-1.149676619,-2.084980462,-3.024552322
2020-02-26,,,,,-0.01046752,0.048937911,-0.041666667,-0.026686808,-0.036363636,-0.04040404,-0.026666667,-0.036036036,14,96,3972,330,Correa,-0.202381644,-1.640418323,-0.597303519,-0.243763654,-1.643617126,-0.618204786
2020-02-27,0.008358795,-0.004437558,0.032020606,0.011834458,0.351290372,0.068828169,-0.055555556,-0.022979985,-0.025270758,-0.053333333,-0.022954461,-0.025,10,72,2698,277,Correa,-0.519303146,-1.219235251,-0.192397,-0.564495391,-1.220939935,-0.203025108
