date,source,url,seg,pos_cnt,neg_cnt,neutral_cnt,total_cnt,fill_source,dict
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271787/yields-on-govt-securities-end-flat-on-fresh-tensions/,F,2,11,412,425,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271787/yields-on-govt-securities-end-flat-on-fresh-tensions/,HP,0,0,29,29,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271788/peso-to-weaken-further-on-geopolitical-tensions/,H,0,1,3,4,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271788/peso-to-weaken-further-on-geopolitical-tensions/,F,1,11,322,334,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271788/peso-to-weaken-further-on-geopolitical-tensions/,HP,0,2,16,18,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271968/local-shares-decline-on-geopolitical-tensions/,H,0,1,4,5,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271968/local-shares-decline-on-geopolitical-tensions/,F,4,10,213,227,auto,LM
2020-01-06,Business World,https://www.bworldonline.com/editors-picks/2020/01/06/271968/local-shares-decline-on-geopolitical-tensions/,HP,1,2,12,15,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/banking-finance/2020/01/07/272182/peso-strengthens-on-inflation-gir-data/,H,1,0,4,5,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/banking-finance/2020/01/07/272182/peso-strengthens-on-inflation-gir-data/,F,5,2,172,179,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/banking-finance/2020/01/07/272182/peso-strengthens-on-inflation-gir-data/,HP,2,0,16,18,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/economy/2020/01/07/272285/gir-hits-record-levels-at-end-2019-as-trade-deficit-narrows/,H,0,1,7,8,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/economy/2020/01/07/272285/gir-hits-record-levels-at-end-2019-as-trade-deficit-narrows/,F,10,13,449,472,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/economy/2020/01/07/272285/gir-hits-record-levels-at-end-2019-as-trade-deficit-narrows/,HP,0,2,32,34,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/editors-picks/2020/01/07/272284/bsp-looking-at-rate-cut-to-discourage-hot-money/,H,0,2,5,7,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/editors-picks/2020/01/07/272284/bsp-looking-at-rate-cut-to-discourage-hot-money/,F,0,3,125,128,auto,LM
2020-01-07,Business World,https://www.bworldonline.com/editors-picks/2020/01/07/272284/bsp-looking-at-rate-cut-to-discourage-hot-money/,HP,0,4,20,24,auto,LM
2020-01-08,Business Mirror,https://businessmirror.com.ph/2020/01/08/slew-of-events-spooks-investors-prompt-partial-award-of-t-bonds/,H,0,0,8,8,manual,LM
2020-01-08,Business Mirror,https://businessmirror.com.ph/2020/01/08/slew-of-events-spooks-investors-prompt-partial-award-of-t-bonds/,F,1,4,186,191,manual,LM
2020-01-08,Business Mirror,https://businessmirror.com.ph/2020/01/08/slew-of-events-spooks-investors-prompt-partial-award-of-t-bonds/,HP,0,1,37,38,manual,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272185/peso-may-weaken-anew-on-rate-cuts-ca-deficit/,H,0,2,5,7,auto,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272185/peso-may-weaken-anew-on-rate-cuts-ca-deficit/,F,6,16,310,332,auto,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272185/peso-may-weaken-anew-on-rate-cuts-ca-deficit/,HP,1,5,19,25,auto,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272388/main-index-drops-as-us-iran-tensions-escalate/,H,0,1,5,6,auto,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272388/main-index-drops-as-us-iran-tensions-escalate/,F,0,12,237,249,auto,LM
2020-01-08,Business World,https://www.bworldonline.com/editors-picks/2020/01/08/272388/main-index-drops-as-us-iran-tensions-escalate/,HP,0,1,20,21,auto,LM
2020-01-08,Inquirer,https://business.inquirer.net/286744/ph-economy-to-outperform-global-peers-in-next-2-years,H,1,0,5,6,manual,LM
2020-01-08,Inquirer,https://business.inquirer.net/286744/ph-economy-to-outperform-global-peers-in-next-2-years,F,7,9,219,235,manual,LM
2020-01-08,Inquirer,https://business.inquirer.net/286744/ph-economy-to-outperform-global-peers-in-next-2-years,HP,4,1,26,31,manual,LM
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272394/liquidity-lending-growth-pick-up-in-november/,H,0,0,5,5,auto,LM
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272394/liquidity-lending-growth-pick-up-in-november/,F,2,12,466,480,auto,LM
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272394/liquidity-lending-growth-pick-up-in-november/,HP,0,1,16,17,auto,LM
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272611/phl-shares-end-higher-as-us-iran-tensions-ease/,H,0,0,7,7,auto,LM
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272611/phl-shares-end-higher-as-us-iran-tensions-ease/,F,10,7,219,236,auto,LM
2020-01-09,Business World,https://www.bworldonline.com/editors-picks/2020/01/09/272611/phl-shares-end-higher-as-us-iran-tensions-ease/,HP,1,1,19,21,auto,LM
2020-01-09,Rappler,https://www.rappler.com/business/248893-world-bank-global-economic-prospects-report-january-2020/,H,0,0,9,9,auto,LM
2020-01-09,Rappler,https://www.rappler.com/business/248893-world-bank-global-economic-prospects-report-january-2020/,F,10,29,345,384,auto,LM
2020-01-09,Rappler,https://www.rappler.com/business/248893-world-bank-global-economic-prospects-report-january-2020/,HP,0,0,9,9,auto,LM
2020-01-10,Business World,https://www.bworldonline.com/editors-picks/2020/01/10/272756/stocks-close-lower-as-investors-await-us-china-trade-deal/,H,0,0,8,8,auto,LM
2020-01-10,Business World,https://www.bworldonline.com/editors-picks/2020/01/10/272756/stocks-close-lower-as-investors-await-us-china-trade-deal/,F,1,7,207,215,auto,LM
2020-01-10,Business World,https://www.bworldonline.com/editors-picks/2020/01/10/272756/stocks-close-lower-as-investors-await-us-china-trade-deal/,HP,0,0,25,25,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/272865/yields-on-govt-debt-up-on-inflation-us-iran-tensions/,H,0,0,6,6,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/272865/yields-on-govt-debt-up-on-inflation-us-iran-tensions/,F,2,8,268,278,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/272865/yields-on-govt-debt-up-on-inflation-us-iran-tensions/,HP,0,0,7,7,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/273082/peso-may-lag-peers-as-current-account-gap-widens-yuan-to-climb/,H,0,1,8,9,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/273082/peso-may-lag-peers-as-current-account-gap-widens-yuan-to-climb/,F,3,9,180,192,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/banking-finance/2020/01/13/273082/peso-may-lag-peers-as-current-account-gap-widens-yuan-to-climb/,HP,0,3,20,23,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/corporate/2020/01/13/272937/century-properties-keen-on-reit-launch/,H,0,0,5,5,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/corporate/2020/01/13/272937/century-properties-keen-on-reit-launch/,F,2,0,192,194,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/corporate/2020/01/13/272937/century-properties-keen-on-reit-launch/,HP,0,0,24,24,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272809/shares-to-rise-on-signing-of-us-china-trade-deal/,H,0,0,6,6,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272809/shares-to-rise-on-signing-of-us-china-trade-deal/,F,0,5,220,225,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272809/shares-to-rise-on-signing-of-us-china-trade-deal/,HP,0,0,7,7,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272866/treasury-bill-rates-may-inch-up-as-us-iran-tensions-continue/,H,0,0,6,6,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272866/treasury-bill-rates-may-inch-up-as-us-iran-tensions-continue/,F,0,12,298,310,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272866/treasury-bill-rates-may-inch-up-as-us-iran-tensions-continue/,HP,0,0,17,17,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272868/peso-may-strengthen-on-us-china-phase-one-deal/,H,1,0,4,5,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272868/peso-may-strengthen-on-us-china-phase-one-deal/,F,8,14,312,334,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/272868/peso-may-strengthen-on-us-china-phase-one-deal/,HP,3,0,19,22,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/273081/phl-stocks-to-take-cues-from-us-china-trade-talks/,H,0,0,6,6,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/273081/phl-stocks-to-take-cues-from-us-china-trade-talks/,F,2,8,252,262,auto,LM
2020-01-13,Business World,https://www.bworldonline.com/editors-picks/2020/01/13/273081/phl-stocks-to-take-cues-from-us-china-trade-talks/,HP,0,0,28,28,auto,LM
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/dealing-with-current-and-future-inflation/,H,0,0,4,4,manual,LM
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/dealing-with-current-and-future-inflation/,F,8,5,317,330,manual,LM
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/dealing-with-current-and-future-inflation/,HP,0,0,8,8,manual,LM
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/oil-comes-back-to-haunt-asian-currencies-as-volatility-increases/,H,0,1,6,7,manual,LM
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/oil-comes-back-to-haunt-asian-currencies-as-volatility-increases/,F,2,21,297,320,manual,LM
2020-01-14,Business Mirror,https://businessmirror.com.ph/2020/01/14/oil-comes-back-to-haunt-asian-currencies-as-volatility-increases/,HP,0,3,20,23,manual,LM
2020-01-14,Business World,https://www.bworldonline.com/editors-picks/2020/01/14/273264/psei-picks-up-on-bargain-hunting-as-trade-resumes/,H,0,0,6,6,auto,LM
2020-01-14,Business World,https://www.bworldonline.com/editors-picks/2020/01/14/273264/psei-picks-up-on-bargain-hunting-as-trade-resumes/,F,5,6,224,235,auto,LM
2020-01-14,Business World,https://www.bworldonline.com/editors-picks/2020/01/14/273264/psei-picks-up-on-bargain-hunting-as-trade-resumes/,HP,0,0,21,21,auto,LM
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/fmic-psei-may-only-reach-as-much-as-8900-points-this-year/,H,0,0,5,5,manual,LM
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/fmic-psei-may-only-reach-as-much-as-8900-points-this-year/,F,3,2,211,216,manual,LM
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/fmic-psei-may-only-reach-as-much-as-8900-points-this-year/,HP,0,0,29,29,manual,LM
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/investors-lap-up-short-term-debt-papers-on-uncertainties/,H,0,0,7,7,manual,LM
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/investors-lap-up-short-term-debt-papers-on-uncertainties/,F,0,1,188,189,manual,LM
2020-01-15,Business Mirror,https://businessmirror.com.ph/2020/01/15/investors-lap-up-short-term-debt-papers-on-uncertainties/,HP,0,0,29,29,manual,LM
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273270/fed-on-hold-but-will-financial-risks-matter/,H,0,0,5,5,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273270/fed-on-hold-but-will-financial-risks-matter/,F,1,23,282,306,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273270/fed-on-hold-but-will-financial-risks-matter/,HP,0,1,23,24,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273485/peso-weakens-vs-dollar-11/,H,0,1,3,4,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273485/peso-weakens-vs-dollar-11/,F,1,5,148,154,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/banking-finance/2020/01/15/273485/peso-weakens-vs-dollar-11/,HP,0,2,16,18,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273271/govt-partially-awards-t-bills-as-rates-rise-4/,H,0,0,6,6,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273271/govt-partially-awards-t-bills-as-rates-rise-4/,F,2,11,379,392,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273271/govt-partially-awards-t-bills-as-rates-rise-4/,HP,0,0,28,28,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273484/pse-index-sinks-to-7600-level-on-us-china-talks/,H,0,0,6,6,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273484/pse-index-sinks-to-7600-level-on-us-china-talks/,F,3,7,245,255,auto,LM
2020-01-15,Business World,https://www.bworldonline.com/editors-picks/2020/01/15/273484/pse-index-sinks-to-7600-level-on-us-china-talks/,HP,1,0,26,27,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/banking-finance/2020/01/16/273697/peso-declines-further-vs-dollar-despite-signing-of-us-china-deal/,H,1,1,6,8,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/banking-finance/2020/01/16/273697/peso-declines-further-vs-dollar-despite-signing-of-us-china-deal/,F,4,6,199,209,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/banking-finance/2020/01/16/273697/peso-declines-further-vs-dollar-despite-signing-of-us-china-deal/,HP,2,2,23,27,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273490/tdf-yields-decline-despite-lower-demand/,H,1,1,4,6,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273490/tdf-yields-decline-despite-lower-demand/,F,4,11,316,331,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273490/tdf-yields-decline-despite-lower-demand/,HP,2,2,20,24,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273624/remittance-growth-slows-in-nov/,H,0,0,4,4,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273624/remittance-growth-slows-in-nov/,F,4,18,346,368,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273624/remittance-growth-slows-in-nov/,HP,0,2,19,21,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273683/shares-extend-decline-following-us-china-deal/,H,0,1,5,6,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273683/shares-extend-decline-following-us-china-deal/,F,6,11,224,241,auto,LM
2020-01-16,Business World,https://www.bworldonline.com/editors-picks/2020/01/16/273683/shares-extend-decline-following-us-china-deal/,HP,0,4,23,27,auto,LM
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273861/local-stocks-recover-on-positive-foreign-news/,H,1,0,5,6,auto,LM
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273861/local-stocks-recover-on-positive-foreign-news/,F,14,0,169,183,auto,LM
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273861/local-stocks-recover-on-positive-foreign-news/,HP,2,0,12,14,auto,LM
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273866/peso-weakens-slightly-on-lack-of-clarity-from-us-china-trade-deal/,H,0,2,6,8,auto,LM
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273866/peso-weakens-slightly-on-lack-of-clarity-from-us-china-trade-deal/,F,2,7,214,223,auto,LM
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273866/peso-weakens-slightly-on-lack-of-clarity-from-us-china-trade-deal/,HP,0,3,21,24,auto,LM
2020-01-17,Business World,https://www.bworldonline.com/editors-picks/2020/01/17/273875/bsps-diokno-dismisses-banking-sector-risk-from-pogos/,H,0,1,6,7,auto,LM
