date,sent_H,sent_F,sent_HP,sent_H_L,sent_F_L,sent_HP_L,art_count,token_count_H,token_count_F,token_count_HP
2020-03-23,-0.02020202,-0.009943182,-0.024691358,-0.019607843,-0.009936125,-0.024464832,15,99,4224,324
2020-03-24,0,-0.002991453,0,0,-0.002987623,0,8,53,2340,208
2020-03-25,0,-0.006920415,-0.008438819,0,-0.006913891,-0.008333333,9,56,3179,237
2020-03-26,0.013888889,-0.003244646,0.017667845,0.013333333,-0.003241491,0.017482517,12,72,3082,283
2020-03-27,0,-0.000859107,-0.011627907,0,-0.000856898,-0.011235955,4,21,1164,86
2020-03-30,-0.118421053,-0.016836876,-0.069498069,-0.113924051,-0.016822945,-0.06870229,13,76,3623,259
2020-03-31,-0.057692308,-0.001079331,-0.016853933,-0.054545455,-0.001077586,-0.016574586,7,52,1853,178
2020-04-01,-0.054054054,-0.016666667,-0.026490066,-0.05,-0.016640666,-0.025974026,6,37,1920,151
2020-04-02,-0.027027027,-0.02324159,-0.020547945,-0.025,-0.023199023,-0.020134228,6,37,1635,146
2020-04-03,-0.01754386,-0.015779982,-0.018018018,-0.016666667,-0.015758667,-0.017777778,9,57,2218,222
2020-04-06,-0.09375,-0.018581081,-0.049586777,-0.085714286,-0.01853412,-0.048387097,5,32,1184,121
2020-04-07,0.037037037,-0.00295683,0.027027027,0.033333333,-0.002951594,0.026315789,5,27,1691,111
2020-04-08,-0.045454545,-0.008232446,-0.011111111,-0.042553191,-0.008220503,-0.010928962,7,44,2065,180
2020-04-09,0,-0.029069767,0,0,-0.028571429,0,1,5,172,19
2020-04-10,0,-0.003289474,0,0,-0.003257329,0,1,7,304,25
2020-04-13,-0.04040404,-0.010526316,-0.019512195,-0.039215686,-0.010520048,-0.01937046,16,99,5035,410
2020-04-14,0.014285714,-0.005937827,-0.003802281,0.01369863,-0.005931612,-0.003759398,10,70,2863,263
2020-04-15,0.018518519,-0.002291476,-0.005076142,0.01754386,-0.00228833,-0.005,8,54,2182,197
2020-04-16,0.012987013,-0.002636783,-0.006042296,0.0125,-0.002634178,-0.005988024,12,77,3034,331
2020-04-17,-0.014492754,-0.012572205,-0.012765957,-0.013888889,-0.012559403,-0.012605042,9,69,2943,235
