date,sent_H,sent_F,sent_HP,sent_H_L,sent_F_L,sent_HP_L,art_count,token_count_H,token_count_F,token_count_HP
2020-03-09,-0.069306931,-0.024793388,-0.056338028,-0.067307692,-0.024774194,-0.055749129,15,101,3872,284
2020-03-10,-0.041666667,-0.014685117,-0.006944444,-0.04,-0.014672686,-0.006802721,11,72,3541,144
2020-03-11,0,-0.006704981,0.014492754,0,-0.006695361,0.014184397,7,36,2088,138
2020-03-12,-0.020408163,-0.016841147,-0.018867925,-0.019230769,-0.016818182,-0.018348624,8,49,2197,106
2020-03-13,-0.037735849,-0.015022389,-0.020253165,-0.037037037,-0.015015882,-0.020100503,24,159,6923,395
2020-03-14,0,-0.014939309,0,0,-0.014897579,0,4,29,1071,96
2020-03-15,0,-0.014792899,0,0,-0.014749263,0,3,21,1014,33
2020-03-16,-0.048387097,-0.016273247,-0.011725293,-0.047244094,-0.016264522,-0.011666667,19,124,5592,597
2020-03-17,-0.042105263,-0.012530768,-0.032352941,-0.040816327,-0.012522361,-0.032069971,14,95,4469,340
2020-03-18,0,-0.006543075,0.013262599,0,-0.00653951,0.013157895,21,127,5502,377
2020-03-19,-0.082352941,-0.024457268,-0.04797048,-0.079545455,-0.024437122,-0.047445255,13,85,3639,271
2020-03-20,-0.009433962,-0.015966047,-0.022346369,-0.009174312,-0.015956372,-0.022160665,16,106,4948,358
2020-03-21,0.03125,-0.020214782,-0.008264463,0.028571429,-0.020176545,-0.008064516,5,32,1583,121
2020-03-22,0,-0.013888889,0,0,-0.013854931,0,2,9,1224,35
2020-03-23,-0.022556391,-0.012235051,-0.02617801,-0.022058824,-0.012228729,-0.025974026,21,133,5803,382
2020-03-24,-0.020833333,-0.012367946,-0.007751938,-0.02020202,-0.012358393,-0.007662835,14,96,3881,258
2020-03-25,-0.012048193,-0.007057678,-0.014492754,-0.011627907,-0.007052529,-0.014336918,13,83,4109,276
2020-03-26,0,-0.009389671,0.011730205,0,-0.009383664,0.011627907,19,115,4686,341
2020-03-27,0,-0.006045949,-0.010204082,0,-0.006035003,-0.00990099,6,33,1654,98
2020-03-28,-0.0625,-0.011494253,-0.035714286,-0.052631579,-0.011444921,-0.032258065,3,16,696,28
2020-03-29,0,0,-0.033333333,0,0,-0.03030303,1,8,280,30
2020-03-30,-0.117021277,-0.013930723,-0.074576271,-0.113402062,-0.01392286,-0.073825503,18,94,5312,295
2020-03-31,-0.0625,-0.012030623,-0.023809524,-0.060240964,-0.01201748,-0.023474178,11,80,2743,210
2020-04-01,-0.092592593,-0.020511096,-0.05027933,-0.087719298,-0.020490427,-0.049450549,9,54,2974,179
2020-04-02,-0.041666667,-0.014681348,-0.027522936,-0.04,-0.014666667,-0.027149321,12,72,2997,218
2020-04-03,-0.00952381,-0.017898833,-0.009677419,-0.009259259,-0.017884914,-0.009584665,15,105,3855,310
2020-04-04,0.076923077,0.004728132,0.030769231,0.0625,0.004694836,0.029411765,2,13,423,65
2020-04-05,0,-0.005060089,0,0,-0.005050505,0,5,31,1581,116
2020-04-06,-0.078947368,-0.015930485,-0.04109589,-0.073170732,-0.015895954,-0.040268456,6,38,1381,146
2020-04-07,-0.02,-0.01066961,-0.007042254,-0.018867925,-0.010657846,-0.006896552,9,50,2718,142
2020-04-08,-0.06779661,-0.011945929,-0.024271845,-0.064516129,-0.011934673,-0.023923445,10,59,3181,206
2020-04-09,-0.058823529,-0.01512214,-0.031914894,-0.055555556,-0.01510457,-0.030927835,9,51,2579,94
2020-04-10,0,-0.014616322,0,0,-0.014563107,0,3,20,821,38
2020-04-11,-0.05,-0.014357502,-0.02739726,-0.043478261,-0.014326648,-0.026315789,3,20,1393,73
2020-04-12,-0.047619048,-0.001824818,-0.042857143,-0.041666667,-0.001814882,-0.04109589,3,21,548,70
2020-04-13,-0.033613445,-0.009452127,-0.015384615,-0.032786885,-0.009447166,-0.015283843,19,119,5713,455
2020-04-14,-0.021978022,-0.008856906,-0.014084507,-0.021276596,-0.008849558,-0.013937282,13,91,3613,284
2020-04-15,0,-0.004728132,-0.009478673,0,-0.004723347,-0.009345794,10,68,2961,211
2020-04-16,0,-0.004073873,-0.008287293,0,-0.004070556,-0.008219178,16,108,3682,362
2020-04-17,-0.026315789,-0.014592019,-0.016528926,-0.025316456,-0.014578994,-0.016326531,10,76,3358,242
