dictionary,dv,segment,lag_k,family,add_ar1,beta,se_hac_q4,t,p,q_bh,reject_bh,R2,R2_adj,sample_N,sample_start,sample_end,nw_lag_fixed,nw_lag_auto_suggest,lb_m5_p,lb_m10_p,m_tests,alpha_bh,N,const
Correa,psei_ret,F_L,1,prediction_k1_5,False,-0.0007638870909406719,0.0022014237735696342,-0.3469968390965544,0.7285936934510904,0.9525638701886117,False,0.0006455383195961284,-0.01496937514416019,66,2020-01-08,2020-04-17,4,3,0.3876415234894074,0.7546129471184005,15.0,0.05,66,-0.0021187445507007837
Correa,psei_ret,F_L,2,prediction_k1_5,False,-0.0005709509319925438,0.002094911170362594,-0.2725418337875022,0.7852054294805741,0.9525638701886117,False,0.0003830728539637729,-0.01523594163269304,66,2020-01-08,2020-04-17,4,3,0.37582599465160604,0.7482820720444896,15.0,0.05,66,-0.0021293960163273123
Correa,psei_ret,F_L,3,prediction_k1_5,False,0.0016291255120318687,0.002107967638785065,0.7728418036677362,0.43961600982657656,0.9525638701886117,False,0.0032782743187791397,-0.01229550264499002,66,2020-01-08,2020-04-17,4,3,0.4298396614225204,0.763255832913051,15.0,0.05,66,-0.001986226331100744
Correa,psei_ret,F_L,4,prediction_k1_5,False,0.004030998628851051,0.0028570348337366813,1.4109028637844632,0.15827325764668543,0.9525638701886117,False,0.020431495552864276,0.005125737670877761,66,2020-01-08,2020-04-17,4,3,0.2952339050930284,0.6506757223275289,15.0,0.05,66,-0.0018698354425164025
Correa,psei_ret,F_L,5,prediction_k1_5,False,-0.00012000451453081736,0.0020173084782645506,-0.059487438745141646,0.9525638701886117,0.9525638701886117,False,2.0186662395449417e-05,-0.015604497921004601,66,2020-01-08,2020-04-17,4,3,0.38457310677072787,0.7531825919845095,15.0,0.05,66,-0.0021014808286750164
Correa,psei_ret,HP_L,1,prediction_k1_5,False,-0.0015829737103713426,0.0026610964075121186,-0.5948577082373645,0.5519385889719086,0.9525638701886117,False,0.003037172370913277,-0.012540371810791262,66,2020-01-08,2020-04-17,4,3,0.41903580697651877,0.7899548924412858,15.0,0.05,66,-0.002037893685276838
Correa,psei_ret,HP_L,2,prediction_k1_5,False,-0.0005494681034375949,0.001585188374510045,-0.3466263772010227,0.7288720269663835,0.9525638701886117,False,0.00042892263551996823,-0.015189375448300124,66,2020-01-08,2020-04-17,4,3,0.37111571889252615,0.7395155086010112,15.0,0.05,66,-0.0020976073954153997
Correa,psei_ret,HP_L,3,prediction_k1_5,False,-0.00039721917450615625,0.0022114815074362444,-0.17961677417174055,0.8574534349731813,0.9525638701886117,False,0.0002280371169380846,-0.01539339980310972,66,2020-01-08,2020-04-17,4,3,0.372614268158086,0.7499462844554647,15.0,0.05,66,-0.002107946628839714
Correa,psei_ret,HP_L,4,prediction_k1_5,False,0.0010437058200680168,0.00212645597291291,0.4908193883921819,0.6235541957841291,0.9525638701886117,False,0.0015483738295578586,-0.0140524328293552,66,2020-01-08,2020-04-17,4,3,0.36833493008327156,0.7439636491421209,15.0,0.05,66,-0.0020491422298245508
Correa,psei_ret,HP_L,5,prediction_k1_5,False,0.0011359454723372652,0.002725827168629754,0.41673422490256185,0.6768728178453767,0.9525638701886117,False,0.0018105675793171905,-0.013786142302256055,66,2020-01-08,2020-04-17,4,3,0.3859173920116999,0.7491613587198812,15.0,0.05,66,-0.0020530897822061554
Correa,psei_ret,H_L,1,prediction_k1_5,False,-0.0009131299755520707,0.0021238391933188815,-0.4299430853449599,0.6672370429657073,0.9525638701886117,False,0.001140390766147692,-0.014466790628131276,66,2020-01-08,2020-04-17,4,3,0.40763845672215526,0.7722313896049811,15.0,0.05,66,-0.002052318701902677
Correa,psei_ret,H_L,2,prediction_k1_5,False,0.0018571967523878118,0.001717351646168546,1.0814306764320887,0.27950558210863197,0.9525638701886117,False,0.004817791827523066,-0.010731930175171822,66,2020-01-08,2020-04-17,4,3,0.41353628773815493,0.7965831727365995,15.0,0.05,66,-0.002198854644171357
Correa,psei_ret,H_L,3,prediction_k1_5,False,-0.00015523736981970924,0.0019064055434798494,-0.0814293529257932,0.9351005063562702,0.9525638701886117,False,3.351991109368235e-05,-0.015590956340295392,66,2020-01-08,2020-04-17,4,3,0.3806025705807117,0.7513387989561111,15.0,0.05,66,-0.0020952617432501903
Correa,psei_ret,H_L,4,prediction_k1_5,False,-0.0008055540503819319,0.0025285033249550976,-0.31858927865805253,0.7500379845228178,0.9525638701886117,False,0.0009032363547083477,-0.014707650577249431,66,2020-01-08,2020-04-17,4,3,0.40789382038,0.7653019162163754,15.0,0.05,66,-0.002116670206319376
Correa,psei_ret,H_L,5,prediction_k1_5,False,-0.0018859507163887649,0.00222191882697927,-0.8487937063626854,0.3959960928308862,0.9525638701886117,False,0.0049544223365252105,-0.010593164814466594,66,2020-01-08,2020-04-17,4,3,0.3727508974636986,0.7591848153695102,15.0,0.05,66,-0.002203407085478633
Correa,psei_ret,F_L,0,diagnostic_k0,False,0.00617297098421061,0.0029026361955792964,2.1266774643036634,0.033446891210243385,0.033446891210243385,True,0.04165665862443646,0.02735302666360706,69,2020-01-03,2020-04-17,4,3,0.3293216910012431,0.6559261625108573,1.0,0.05,69,-0.0018680288555348035
Correa,psei_ret,HP_L,0,diagnostic_k0,False,0.005665513362355719,0.0027243700573363725,2.0795682095753594,0.0375651554061533,0.0375651554061533,True,0.039027140921729764,0.02468426242802424,69,2020-01-03,2020-04-17,4,3,0.2835402825269898,0.6279539613013339,1.0,0.05,69,-0.0020201703882400898
