date,psei_ret,fx_ret,cds_chg,psei_10d_vol_log,psei_30d_vol_log,vix_log
2020-01-01,,,,,,
2020-01-02,,,-0.5629999999999953,2.9454910571172443,2.733717947850788,2.523325759691945
2020-01-03,0.012483800629979669,0.007724019101198021,1.847999999999999,2.7523860149222616,2.7593768282675506,2.640484881606444
2020-01-06,-0.00536168597518305,-0.0025876786116110218,1.9690000000000012,2.779440197188883,2.7606426512213806,2.6282852326333477
2020-01-07,0.00547775379157045,-0.003637976580061597,-1.2920000000000016,2.7899373605743945,2.766319109226186,2.6239436918052106
2020-01-08,-0.013412465620115555,-0.00019702492429019003,0.25800000000000267,2.837322536806349,2.7800607370784824,2.598979106047848
2020-01-09,0.00790521614825046,-0.0017749733483678476,-1.436,2.7356653681351832,2.7917784166329223,2.5289235352047745
2020-01-10,-0.0026796541898992388,0.0014793631575171773,-0.06300000000000239,2.6034301519721073,2.785011242238338,2.5305171610400525
2020-01-13,0.0,,-0.28699999999999903,,,2.511223958105374
2020-01-14,0.002116889529263588,,0.1909999999999954,2.604909442182697,2.772588722239781,2.516889695641051
2020-01-15,-0.016672003992070472,0.003158001242927533,0.028000000000005798,2.7750856024383683,2.770711962226921,2.519308076505333
2020-01-16,-0.0014647226873076846,-0.0011830820664182617,-1.223000000000006,2.73696154459663,2.7587433154177283,2.511223958105374
2020-01-17,0.009026998376343798,0.004252560894549173,-0.0029999999999930083,2.6762154775821916,2.772588722239781,2.4932054526026954
2020-01-20,-0.022256636085373316,0.0013546546230380763,0.03499999999999659,2.9052603703899154,2.7942278973432626,
2020-01-21,-0.011445439840562344,0.0007844675828847514,2.5289999999999964,2.87976009730157,2.810606789427302,2.553343811341229
2020-01-22,0.0002783994393755762,-0.002060541375676017,0.6190000000000069,2.8524391037275145,2.8094026953624978,2.558002204858551
2020-01-23,0.019572420093334486,0.0014722483888105486,1.4939999999999998,3.031099417391282,2.8763855159214247,2.563409711275944
2020-01-24,0.0009262617368523962,-0.0033402133423288127,1.2199999999999989,3.035433640405543,2.8758219768814333,2.67827804276854
2020-01-27,-0.004704093570785162,0.0004919081214835863,-1.2450000000000045,3.028683373693677,2.87751164216656,2.9030685886905716
2020-01-28,-0.015798337231949233,-0.0015355542823551893,3.608000000000004,3.0199369622508083,2.905807566026004,2.7899373605743945
2020-01-29,-0.0008559369052800747,0.0016339068764841258,-1.561,3.0204248861443626,2.8970163006148333,2.7966713927557385
2020-01-30,-0.009374562300877187,0.00284802549493568,2.168999999999997,2.9657883971809187,2.9030685886905716,2.740194654428777
2020-01-31,-0.02629971809890108,-0.0030447403573776732,-0.3119999999999976,3.028683373693677,2.9279886214674717,2.935982269148217
2020-02-03,-0.008894300267609623,-0.0005903768743751314,-1.0039999999999978,3.0184717605234805,2.8786365016777435,2.8887037007954675
2020-02-04,0.012513595377184217,-0.0005907256251331816,-3.169000000000004,3.1112906141882632,2.9052603703899154,2.775708849576025
2020-02-05,0.017277822704691914,0.002753738954941465,-2.647999999999996,3.077312260546414,2.953868069455292,2.7180005319553784
2020-02-06,0.02068265644688161,-0.002753738954941465,0.26500000000000057,3.2355362657613083,3.001217203784561,2.7053799725463312
2020-02-07,9.204921882322026e-05,-0.00023638799259062537,1.7879999999999967,3.233173129569025,2.9699015135194693,2.738902664584975
2020-02-10,-0.010220962402193834,0.00043333530982003765,-0.0009999999999976694,3.1978564576441255,2.9533465570575532,2.7107133185216936
2020-02-11,0.0011484671634871546,-0.0015766656793947398,-0.9010000000000034,3.1986731175506815,2.9543893100196086,2.719978771967484
2020-02-12,-0.007596056089052894,-0.002567395505245873,-1.3870000000000005,3.190476350346503,2.9580304063699794,2.620311286794203
2020-02-13,0.002707792548758192,-0.0011871786119304062,0.2560000000000002,2.915064370486536,2.9533465570575532,2.649714624089247
2020-02-14,-0.01649611829925668,0.0011871786119304062,-0.2359999999999971,3.0155349008501706,2.9528247725427144,2.615934912194404
2020-02-17,0.006140405957577144,-9.887773775796305e-05,0.0449999999999946,2.9770590082883697,2.960623096440423,
2020-02-18,-0.0005407603527949334,0.0016795933405586716,0.4680000000000035,2.843163674909384,2.953868069455292,2.696652156149841
2020-02-19,0.010061341009325986,-0.0019169398081775313,-0.777000000000001,2.6004649904222727,2.955430976780465,2.6658383522929006
2020-02-20,0.0021686793072319688,0.0007316374173300666,0.1600000000000037,2.6100697927420065,2.9454910571172443,2.7447035187502458
2020-02-21,-0.0058472249758967365,0.00709083136488875,0.9369999999999976,2.554121718809473,2.947591898226056,2.837908188360424
2020-02-24,-0.02505279330456034,0.00025511956414803194,4.686999999999998,2.8975680247667595,3.007166651179654,3.2200751054436827
2020-02-25,,,-0.6890000000000001,,,3.326832966373293
2020-02-26,,,1.9720000000000013,3.2744997286161976,3.121483478859551,3.3163654461454577
2020-02-27,0.008358794510598955,-0.004437557597131825,2.942,3.306520334720247,3.133317936506554,3.6676558176623097
2020-02-28,-0.026162188581780654,0.0017302403058208071,10.648000000000003,3.3624565533457247,3.1616703510974213,3.6916256797819615
2020-03-02,-0.005707107899853625,-0.005199728094570588,-1.3260000000000005,3.3207101307494686,3.134189016701007,3.509154523167248
2020-03-03,0.006094339170944707,0.0011841327612169827,-5.206000000000003,3.3520071374713836,3.136797713832594,3.6060411758049318
2020-03-04,0.011235162535044196,-0.0028244979619906907,2.2760000000000034,3.361069590571376,3.1535903581695712,3.4654233539614268
2020-03-05,0.0025462432692435755,0.0007118141674751222,-0.08800000000000097,3.3624565533457247,3.110399348532117,3.6793340412704048
