dictionary,dv,segment,lag_k,add_ar1,beta,se_hac_q4,t,p,const,R2,R2_adj,sample_N,sample_start,sample_end,nw_lag_fixed,nw_lag_auto_suggest,lb_m5_p,lb_m10_p,N
LM,psei_ret,F_L,0,False,0.0050501286782517005,0.003540106785736342,1.426546989655645,0.15371051331829985,-0.0019272899284144913,0.030607765664424913,0.0161392248534461,69,2020-01-03,2020-04-17,4,3,0.3575005129707692,0.7020915612833725,69
LM,psei_ret,F_L,1,False,-0.0038778591686089506,0.0020651463442417067,-1.8777648273797503,0.06041334386843707,-0.0017388906785102806,0.0193956891033068,0.004759803866042689,69,2020-01-03,2020-04-17,4,3,0.3535807964628842,0.7201180404351553,69
LM,psei_ret,HP_L,0,False,0.0033014125798324855,0.0025609737374217055,1.28912394984426,0.19735499854754224,-0.001889398823866683,0.013072450389060464,-0.0016578115454313203,69,2020-01-03,2020-04-17,4,3,0.32109676939431003,0.7018116984071382,69
LM,psei_ret,HP_L,1,False,-0.0036903172871035734,0.004034361743418342,-0.9147214656999852,0.36033787241862403,-0.0016930147208539818,0.016262314972045444,0.0015796629567027543,69,2020-01-03,2020-04-17,4,3,0.5017056677292373,0.8217432662646708,69
LM,psei_ret,H_L,0,False,0.003580092110725072,0.0022879888570030717,1.5647331934188111,0.11764548199884121,-0.0019368366762288786,0.01695485762767046,0.002282542069874438,69,2020-01-03,2020-04-17,4,3,0.2938047095121505,0.7016698339660224,69
LM,psei_ret,H_L,1,False,-0.0030148193980226406,0.0034575200785497127,-0.871960055048251,0.3832301694078435,-0.00164271743476735,0.01197493188783183,-0.0027717109198124312,69,2020-01-03,2020-04-17,4,3,0.46482981458273787,0.8042773579462202,69
LM,d_psei_10d_vol_log,F_L,0,False,-0.0030609024851327997,0.023605164759858674,-0.12967087992276846,0.8968268224652486,0.00943427410837382,0.0003477247759072766,-0.015271842024469073,66,2020-01-03,2020-04-17,4,3,0.9905403639105015,0.7470596938683899,66
LM,d_psei_10d_vol_log,F_L,1,False,-0.0005300759835786184,0.017154968939130405,-0.030899268046444404,0.975349873660052,0.009449047932909568,1.1240878601381787e-05,-0.015613583482670501,66,2020-01-03,2020-04-17,4,3,0.9890164336499422,0.7671994244904287,66
LM,d_psei_10d_vol_log,HP_L,0,False,0.02052224781480255,0.025612277521261998,0.8012660255522388,0.42297765487998384,0.00909538847449675,0.015145381708823069,-0.0002429717019765132,66,2020-01-03,2020-04-17,4,3,0.9839905866470315,0.7549946785150597,66
LM,d_psei_10d_vol_log,HP_L,1,False,-0.0009732341797029937,0.022963928533655364,-0.042380996713025205,0.9661949771630404,0.009425321337504882,3.312552686240977e-05,-0.015591356886780261,66,2020-01-03,2020-04-17,4,3,0.9887320292783476,0.7638083928678759,66
LM,d_psei_10d_vol_log,H_L,0,False,0.029351549119797343,0.022678939035355446,1.2942205574096566,0.19558924789204668,0.00872273977006403,0.03462660480664381,0.01954264550674767,66,2020-01-03,2020-04-17,4,3,0.9868782434778407,0.7557772021289358,66
LM,d_psei_10d_vol_log,H_L,1,False,0.010325228465350944,0.019966719794901958,0.5171219194445376,0.605071053195982,0.009126710828591152,0.004230273785709615,-0.01132862818638869,66,2020-01-03,2020-04-17,4,3,0.981685090139899,0.7957422715839647,66
LM,d_psei_30d_vol_log,F_L,0,True,-0.016152728903223626,0.012146062787764624,-1.3298736541601885,0.18355990315363868,0.021058779927823068,0.07170715165950214,0.03969705344086427,61,2020-01-06,2020-04-17,4,3,0.20312085210873632,0.5001500684988616,61
LM,d_psei_30d_vol_log,F_L,1,True,-0.005254596593466049,0.004978056319409451,-1.0555518572536768,0.2911730056798081,0.02154422635403677,0.011457386415646087,-0.022630289914848944,61,2020-01-06,2020-04-17,4,3,0.14292165690882555,0.5297735727662386,61
LM,d_psei_30d_vol_log,F_L,3,True,-0.010206945123045211,0.00944350588996638,-1.080842776186541,0.27976705683296854,0.021882313302849822,0.03862648521136103,0.005475674356580362,61,2020-01-06,2020-04-17,4,3,0.19945238081205346,0.5606476075718712,61
LM,d_psei_30d_vol_log,HP_L,0,True,-0.00537768630331434,0.008688673560267039,-0.6189306418307954,0.5359620513575911,0.02097090394121863,0.011951289461852088,-0.022119355729118606,61,2020-01-06,2020-04-17,4,3,0.11550367122067401,0.45870780064979066,61
LM,d_psei_30d_vol_log,HP_L,1,True,0.011604672603636361,0.011556943338903386,1.004129921150717,0.3153159949379579,0.020745145023391344,0.0400752846126895,0.006974432357954585,61,2020-01-06,2020-04-17,4,3,0.1852708613954304,0.595182299237951,61
LM,d_psei_30d_vol_log,HP_L,3,True,-0.005326688560363062,0.007302078422413022,-0.7294756714763988,0.46571074426922165,0.021011479556810698,0.013232828453543677,-0.020793625737713484,61,2020-01-06,2020-04-17,4,3,0.10747405894874251,0.4875354152971272,61
LM,d_psei_30d_vol_log,H_L,0,True,0.0004327791605394734,0.0068044624817774225,0.0636022553873242,0.9492869358411462,0.021012280674119796,0.0040790105370668295,-0.03026309254786197,61,2020-01-06,2020-04-17,4,3,0.11417964236805685,0.4794610159177941,61
LM,d_psei_30d_vol_log,H_L,1,True,0.011024346052145893,0.008856429462041349,1.2447844923731661,0.21321097798365174,0.02073567590129758,0.04093069600535948,0.007859340695199446,61,2020-01-06,2020-04-17,4,3,0.1384795048271426,0.5165863222347885,61
LM,d_psei_30d_vol_log,H_L,3,True,-0.0027475845303277986,0.00610365235278745,-0.4501541653290618,0.6525992829164657,0.021001551452358054,0.006444493422090303,-0.02781604128749282,61,2020-01-06,2020-04-17,4,3,0.11034930058502417,0.486619055699003,61
